"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000402" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "acIV" "acIV-C" NA
"Otu000407" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Unclassified" NA
"Otu000417" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Unclassified" NA
"Otu000427" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetacia_unclassified" "Planctomycetacia_unclassified" "Unclassified" NA
"Otu000428" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidocella" NA
"Otu000434" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "alfI-B" "alfI-B_unclassified" NA
"Otu000438" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "Nitrospiraceae" "Nitrospira" NA
"Otu000447" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" "Halieaceae" "Unclassified" NA
"Otu000449" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiales_unclassified" "Burkholderiales_unclassified" NA
"Otu000450" "Bacteria" "Bacteroidetes" "BSV13" "BSV13_unclassified" "BSV13_unclassified" "Unclassified" NA
"Otu000452" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Chryseolinea" NA
"Otu000457" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfarculales" "Desulfarculaceae" "Desulfatiglans" NA
"Otu000459" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Paludibacter" NA
"Otu000478" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "I-10" "Unclassified" NA
"Otu000485" "Bacteria" "Acidobacteria" "Acidobacteria" "Subgroup_4" "11-24" "Unclassified" NA
"Otu000491" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Snowella" NA
"Otu000499" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Turicibacter" NA
"Otu000506" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "KI89A_clade" "KI89A_clade_unclassified" "Unclassified" NA
"Otu000509" "Bacteria" "Acidobacteria" "Acidobacteria" "Subgroup_6" "Subgroup_6_unclassified" "Unclassified" NA
"Otu000511" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Bdellovibrionales" "Bacteriovoracaceae" "Bacteriovorax" NA
"Otu000512" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bosea" NA
"Otu000514" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Luna3" "Luna3_unclassified" NA
"Otu000515" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiales_unclassified" "Unclassified" NA
"Otu000517" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" "Nitrosomonas" NA
"Otu000521" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Unclassified" NA
"Otu000522" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" "Unclassified" NA
"Otu000536" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Silanimonas" NA
"Otu000537" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Meganema" NA
"Otu000551" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Helicobacteraceae" "Sulfurimonas" NA
"Otu000556" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Roseomonas" NA
"Otu000563" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acIII" "acIII-A" NA
"Otu000567" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobulbaceae" "Desulfobulbus" NA
"Otu000578" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacteriaceae_unclassified" NA
"Otu000580" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobulbaceae" "Desulfocapsa" NA
"Otu000583" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "f__Methylococcaceae" "f__Methylococcaceae_unclassified" NA
"Otu000586" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Terrimonas" NA
"Otu000591" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Polymorphobacter" NA
"Otu000597" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acTH2" "Myco" NA
"Otu000601" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium" NA
"Otu000604" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Filimonas" NA
"Otu000613" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Inhella" NA
"Otu000614" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacI" "bacI-B" NA
"Otu000623" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Rickettsiales_Incertae_Sedis" "Candidatus_Captivus" NA
"Otu000634" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" "[Chthoniobacterales]" "verI-A" "Xip-A1" NA
"Otu000637" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriales_unclassified" "Unclassified" NA
"Otu000644" "unknown" "unknown_unclassified" "unknown_unclassified" "unknown_unclassified" "unknown_unclassified" "Unclassified" NA
"Otu000648" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" "Halieaceae" "Halioglobus" NA
"Otu000660" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "PHOS-HE51" "Unclassified" NA
"Otu000663" "Bacteria" "Acidobacteria" "Holophagae" "Holophagales" "Holophagaceae" "Geothrix" NA
"Otu000669" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_Incertae_Sedis" "Rhizomicrobium" NA
